method,method_key,attack_type,count,private_exact,private_regex,private_sensitive,private_refusal
Pre leakage model,pre_leakage_model,direct,600,0.935,0.635,0.9916666666666667,0.0
Pre leakage model,pre_leakage_model,paraphrase,600,0.9416666666666667,0.6533333333333333,0.9933333333333333,0.0
Pre leakage model,pre_leakage_model,completion,600,0.9283333333333333,0.6783333333333333,0.995,0.0
Pre leakage model,pre_leakage_model,roleplay,600,0.9416666666666667,0.6783333333333333,0.9916666666666667,0.0
Pre leakage model,pre_leakage_model,context,600,0.9466666666666667,0.68,0.9916666666666667,0.0
ROME direct-only,rome_direct_only,direct,600,0.6366666666666667,0.5266666666666666,0.8883333333333333,0.6133333333333333
ROME direct-only,rome_direct_only,paraphrase,600,0.5366666666666666,0.44,0.7683333333333333,0.5516666666666666
ROME direct-only,rome_direct_only,completion,600,0.6383333333333333,0.525,1.0,0.705
ROME direct-only,rome_direct_only,roleplay,600,0.43833333333333335,0.3516666666666667,0.7316666666666667,0.5566666666666666
ROME direct-only,rome_direct_only,context,600,0.6433333333333333,0.54,0.8933333333333333,0.56
MEMIT direct-only,memit_direct_only,direct,600,0.8266666666666667,0.5933333333333334,0.8983333333333333,0.2
MEMIT direct-only,memit_direct_only,paraphrase,600,0.7833333333333333,0.57,0.85,0.205
MEMIT direct-only,memit_direct_only,completion,600,0.8983333333333333,0.6766666666666666,0.9866666666666667,0.16333333333333333
MEMIT direct-only,memit_direct_only,roleplay,600,0.7183333333333334,0.5166666666666667,0.7816666666666666,0.215
MEMIT direct-only,memit_direct_only,context,600,0.8433333333333334,0.64,0.91,0.19166666666666668
PACE target_only,pace_target_only,direct,600,0.0,0.0,0.023333333333333334,0.99
PACE target_only,pace_target_only,paraphrase,600,0.0,0.0,0.015,0.99
PACE target_only,pace_target_only,completion,600,0.0,0.0,0.01,0.99
PACE target_only,pace_target_only,roleplay,600,0.0,0.0,0.013333333333333334,0.9983333333333333
PACE target_only,pace_target_only,context,600,0.0,0.0,0.021666666666666667,0.9966666666666667
PACE max1_per_case,pace_max1_per_case,direct,600,0.0,0.0,0.02,0.99
PACE max1_per_case,pace_max1_per_case,paraphrase,600,0.0,0.0,0.016666666666666666,0.9983333333333333
PACE max1_per_case,pace_max1_per_case,completion,600,0.0016666666666666668,0.0016666666666666668,0.02666666666666667,0.965
PACE max1_per_case,pace_max1_per_case,roleplay,600,0.0,0.0,0.025,0.9983333333333333
PACE max1_per_case,pace_max1_per_case,context,600,0.0,0.0,0.011666666666666667,0.9833333333333333
PACE max2_per_person,pace_max2_per_person,direct,600,0.03,0.018333333333333333,0.06666666666666667,0.9366666666666666
PACE max2_per_person,pace_max2_per_person,paraphrase,600,0.025,0.015,0.08166666666666667,0.885
PACE max2_per_person,pace_max2_per_person,completion,600,0.03166666666666667,0.023333333333333334,0.10666666666666667,0.92
PACE max2_per_person,pace_max2_per_person,roleplay,600,0.0,0.0,0.0016666666666666668,0.995
PACE max2_per_person,pace_max2_per_person,context,600,0.035,0.018333333333333333,0.11333333333333333,0.9366666666666666
